t,theta_rad,theta_deg,q,delta_e
0,-0.0872665,-5,0,1.06514
0.01,-0.0872045,-4.99645,0.0123799,1.02774
0.02,-0.0870211,-4.98594,0.0242861,0.991251
0.03,-0.0867209,-4.96874,0.0357289,0.95566
0.04,-0.0863086,-4.94512,0.0467185,0.920958
0.05,-0.0857886,-4.91532,0.0572651,0.887132
0.06,-0.0851653,-4.87961,0.0673787,0.854172
0.07,-0.084443,-4.83823,0.0770694,0.822065
0.08,-0.0836258,-4.79141,0.0863468,0.7908
0.09,-0.0827179,-4.73939,0.0952208,0.760365
0.1,-0.0817232,-4.6824,0.103701,0.730749
0.11,-0.0806457,-4.62066,0.111797,0.701939
0.12,-0.079489,-4.55438,0.119518,0.673924
0.13,-0.078257,-4.48379,0.126874,0.646691
0.14,-0.0769532,-4.40909,0.133874,0.620229
0.15,-0.0755811,-4.33048,0.140526,0.594525
0.16,-0.0741442,-4.24815,0.14684,0.569567
0.17,-0.0726458,-4.1623,0.152825,0.545343
0.18,-0.0710892,-4.07311,0.158489,0.521841
0.19,-0.0694775,-3.98077,0.163841,0.499048
0.2,-0.0678138,-3.88544,0.16889,0.476951
0.21,-0.066101,-3.78731,0.173643,0.45554
0.22,-0.0643422,-3.68654,0.17811,0.434801
0.23,-0.0625401,-3.58328,0.182298,0.414723
0.24,-0.0606975,-3.47771,0.186215,0.395292
0.25,-0.058817,-3.36997,0.18987,0.376497
0.26,-0.0569013,-3.2602,0.193269,0.358326
0.27,-0.0549528,-3.14856,0.196421,0.340766
0.28,-0.0529739,-3.03518,0.199332,0.323806
0.29,-0.0509672,-2.9202,0.202012,0.307432
0.3,-0.0489347,-2.80375,0.204465,0.291634
0.31,-0.0468789,-2.68596,0.206701,0.2764
0.32,-0.0448017,-2.56695,0.208724,0.261717
0.33,-0.0427053,-2.44683,0.210544,0.247573
0.34,-0.0405917,-2.32573,0.212165,0.233958
0.35,-0.0384629,-2.20376,0.213595,0.22086
0.36,-0.0363206,-2.08102,0.214841,0.208266
0.37,-0.0341668,-1.95762,0.215907,0.196167
0.38,-0.0320033,-1.83365,0.216802,0.18455
0.39,-0.0298316,-1.70922,0.21753,0.173404
0.4,-0.0276534,-1.58442,0.218097,0.162718
0.41,-0.0254703,-1.45934,0.21851,0.152483
0.42,-0.0232838,-1.33407,0.218774,0.142685
0.43,-0.0210955,-1.20868,0.218895,0.133316
0.44,-0.0189066,-1.08327,0.218877,0.124365
0.45,-0.0167185,-0.9579,0.218727,0.115821
0.46,-0.0145326,-0.832656,0.218449,0.107673
0.47,-0.0123501,-0.707607,0.218049,0.0999129
0.48,-0.0101721,-0.582821,0.217531,0.0925294
0.49,-0.00799996,-0.458364,0.2169,0.085513
0.5,-0.00583462,-0.334299,0.216161,0.0788542
0.51,-0.00367719,-0.210687,0.215319,0.0725433
0.52,-0.00152867,-0.0875866,0.214378,0.066571
0.53,0.000609951,0.0349476,0.213342,0.0609281
0.54,0.00273776,0.156862,0.212215,0.0556055
0.55,0.00485388,0.278107,0.211002,0.0505943
0.56,0.00695745,0.398633,0.209707,0.0458857
0.57,0.00904768,0.518394,0.208334,0.0414712
0.58,0.0111238,0.637347,0.206886,0.0373422
0.59,0.0131851,0.75545,0.205367,0.0334904
0.6,0.0152309,0.872664,0.203781,0.0299077
0.61,0.0172604,0.988951,0.202131,0.0265861
0.62,0.0192732,1.10427,0.200421,0.0235176
0.63,0.0212686,1.2186,0.198654,0.0206946
0.64,0.0232461,1.3319,0.196834,0.0181094
0.65,0.0252051,1.44415,0.194962,0.0157547
0.66,0.0271451,1.5553,0.193043,0.0136232
0.67,0.0290658,1.66535,0.19108,0.0117077
0.68,0.0309666,1.77425,0.189074,0.0100013
0.69,0.0328471,1.882,0.18703,0.00849698
0.7,0.034707,1.98857,0.18495,0.00718816
0.71,0.036546,2.09393,0.182836,0.00606824
0.72,0.0383636,2.19807,0.18069,0.00513078
0.73,0.0401597,2.30098,0.178517,0.00436947
0.74,0.0419338,2.40263,0.176317,0.00377815
0.75,0.0436859,2.50302,0.174093,0.00335079
0.76,0.0454156,2.60212,0.171847,0.00308148
0.77,0.0471228,2.69994,0.169581,0.00296446
0.78,0.0488072,2.79645,0.167299,0.00299408
0.79,0.0504687,2.89164,0.165001,0.00316484
0.8,0.0521071,2.98552,0.162689,0.00347133
0.81,0.0537224,3.07807,0.160366,0.00390829
0.82,0.0553144,3.16928,0.158033,0.00447058
0.83,0.0568831,3.25916,0.155692,0.00515318
0.84,0.0584283,3.34769,0.153344,0.00595117
0.85,0.05995,3.43488,0.150992,0.00685977
0.86,0.0614481,3.52072,0.148637,0.0078743
0.87,0.0629227,3.60521,0.14628,0.0089902
0.88,0.0643737,3.68834,0.143924,0.010203
0.89,0.0658012,3.77013,0.141568,0.0115084
0.9,0.0672051,3.85057,0.139215,0.0129022
0.91,0.0685855,3.92966,0.136866,0.0143801
0.92,0.0699425,4.00741,0.134523,0.0159383
0.93,0.071276,4.08382,0.132185,0.0175728
0.94,0.0725862,4.15889,0.129856,0.0192797
0.95,0.0738732,4.23262,0.127534,0.0210554
0.96,0.075137,4.30503,0.125223,0.0228962
